dataset;alpha;random_state;KM_1;KM_2;baseline_dedpul;dedpul;e1_en;e3_en;em_en;random_dedpul
shuttle;0,05;1;0,11039999999999998;0,05009999999999999;0,2669;0,0040999999999999995;0,043000000000000003;0,061399999999999996;0,044000000000000004;0,0011999999999999997
shuttle;0,05;2;0,06369999999999999;0,05009999999999999;0,1849;0,010499999999999995;0,0334;0,1145;0,09929999999999999;0,010699999999999994
shuttle;0,05;3;0,1285;0,05009999999999999;0,2752;0,000999999999999994;0,0432;0,0348;0,006000000000000005;0,0020999999999999977
shuttle;0,05;4;0,1133;0,09219999999999999;0,22660000000000002;0,0131;0,05;0,0628;0,03;0,015400000000000004
shuttle;0,05;5;0,1622;0,07970000000000001;0,1158;0,011699999999999995;0,034800000000000005;0,054400000000000004;0,0010000000000000009;0,005399999999999995
shuttle;0,05;6;0,0553;0,05009999999999999;0,14400000000000002;0,0023000000000000034;0,0446;0,07959999999999999;0,028999999999999998;0,00030000000000000165
shuttle;0,05;7;0,1674;0,05009999999999999;0,22860000000000003;0,0017000000000000001;0,049600000000000005;0,0344;0,020000000000000004;0,0063
shuttle;0,05;8;0,1321;0,05009999999999999;0,0792;0,007899999999999997;0,0369;0,0705;0,001999999999999995;0,019500000000000003
shuttle;0,05;9;0,1206;0,0962;0,0919;0,007100000000000002;0,041600000000000005;0,06609999999999999;0,049;0,006000000000000005
shuttle;0,25;0;0,1094;0,11499999999999999;0,06259999999999999;0,0010000000000000009;0,03;0,0862;0,016000000000000014;0,02689999999999998
shuttle;0,25;1;0,2314;0,2348;0,11309999999999998;0,009299999999999975;0,043800000000000006;0,1775;0,0050000000000000044;0,0
shuttle;0,25;2;0,03370000000000001;0,03620000000000001;0,03310000000000002;0,0022999999999999965;0,05299999999999999;0,04139999999999999;0,008000000000000007;0,0029000000000000137
shuttle;0,25;3;0,06709999999999999;0,066;0,0998;0,0010000000000000009;0,04239999999999999;0,09339999999999998;0,01100000000000001;0,0015999999999999903
shuttle;0,25;4;0,0529;0,05299999999999999;0,0464;0,004500000000000004;0,061799999999999994;0,04370000000000002;0,02400000000000002;0,03760000000000002
shuttle;0,25;5;0,08279999999999998;0,08650000000000002;0,0469;0,008599999999999997;0,05929999999999999;0,045999999999999985;0,016000000000000014;0,031200000000000006
shuttle;0,25;6;0,030799999999999994;0,03470000000000001;0,1632;0,0015999999999999903;0,05790000000000001;0,07150000000000001;0,0010000000000000009;0,0015999999999999903
shuttle;0,25;7;0,04949999999999999;0,06219999999999998;0,020600000000000007;0,0021999999999999797;0,061700000000000005;0,05780000000000002;0,0020000000000000018;0,001799999999999996
shuttle;0,25;8;0,06340000000000001;0,06409999999999999;0,02639999999999998;0,0029000000000000137;0,07719999999999999;0,10859999999999997;0,01899999999999999;0,0019000000000000128
shuttle;0,25;9;0,019500000000000017;0,021199999999999997;0,13890000000000002;0,0015999999999999903;0,05760000000000001;0,032200000000000006;0,023999999999999994;0,003599999999999992
shuttle;0,5;0;0,05020000000000002;0,07040000000000002;0,01100000000000001;0,006500000000000006;0,04720000000000002;0,03520000000000001;0,006000000000000005;0,005900000000000016
shuttle;0,5;1;0,05020000000000002;0,07669999999999999;0,019399999999999973;0,005400000000000016;0,0383;0,07730000000000004;0,0020000000000000018;0,0252
shuttle;0,5;2;0,05020000000000002;0,05810000000000004;0,02839999999999998;0,0020000000000000018;0,04509999999999997;0,048699999999999966;0,014000000000000012;0,0005999999999999894
shuttle;0,5;3;0,028699999999999948;0,052100000000000035;0,0817;0,0024000000000000132;0,03649999999999998;0,040200000000000014;0,008000000000000007;0,00029999999999996696
shuttle;0,5;4;0,01849999999999996;0,04630000000000001;0,11329999999999996;0,01529999999999998;0,06969999999999998;0,023900000000000032;0,006000000000000005;0,0030999999999999917
shuttle;0,5;5;0,06169999999999998;0,08989999999999998;0,06059999999999999;0,009199999999999986;0,03460000000000002;0,052200000000000024;0,031000000000000028;0,0050000000000000044
